SAMPLE_ID	LATITUDE	LONGITUDE
LA0407	-2.18056	-79.88361
LA1223	-2.19583	-78.85056
LA1625	-1.5	-80.51667
LA1252	-4	-79.21667
LA2098_1	-4.36583	-79.81278
LA2098_2	-4.36583	-79.81278
LA2100	-4.36	-79.79639
LA2103	-4.23333	-79.45
LA2105	-4.03417	-79.19889
LA2106	-4.2	-79.21667
LA2114	-3.93333	-79.225
LA2119	-3.62222	-79.23806
LA2128	-3.89361	-78.78028
LA2855	-4.1	-79.95
LA2859	-4.36306	-79.17472
LA2860	-4.33333	-79.55
LA2861	-3.81667	-79.26667
LA2869	-4.11667	-79.36667
LA1739	-5.36667	-79.6
LA2171	-5.92528	-79.54472
LA2409	-12.28944	-75.8075
LA2541	-5.92528	-79.54472
