SAMPLE_ID	LATITUDE	LONGITUDE
LA1737	-5.29167	-79.42361
LA2155	-6.67	-78.53111
LA2156	-6.53	-78.79
LA2175	-5.14167	-79.00833
LA2196	-6.18111	-77.91139
LA2204	-5.79722	-77.86611
LA2324	-6.7	-77.7975
LA1352	-7.33361	-78.79694
LA1354	-7.41667	-78.78333
LA1986	-7.97778	-78.64722
LA1361	-9.55	-77.89167
LA1777	-9.55	-77.66667
LA1778	-9.55	-77.7
LA2329	-7.82028	-77.71278
LA2574	-9.53333	-77.8
LA2976	-9.55833	-77.7
LA0094	-11.51667	-76.68333
LA1298	-11.58333	-76.75
LA1560	-11.85	-76.38333
LA1681	-12.75	-75.83333
LA1691	-12.45972	-75.91806
LA1721	-13.43528	-75.46528
LA1731	-13.20194	-75.575
LA1753	-11.88472	-76.43972
LA1772	-11.48333	-76.65
LA1928	-14.39861	-74.82278
