sample.id	pop_withSP
LA0407	1
LA1223	1
LA1362	1
LA1625	1
LA1252	2
LA2100	1
LA2103	2
LA2105	2
LA2106	2
LA2114	2
LA2119	2
LA2128	2
LA2855	1
LA2859	2
LA2860	1
LA2861	2
LA2869	1
LA1737	4
LA1739	3
LA2171	3
LA2175	4
LA2409	3
LA2541	3
LA2155	4
LA2156	4
LA2196	4
LA2204	4
LA2324	4
LA1352	4
LA1354	4
LA1986	4
LA2329	5
LA1361	5
LA1777	5
LA1778	5
LA2574	5
LA2976	5
LA0094	6
LA1298	6
LA1560	6
LA1681	6
LA1691	6
LA1721	6
LA1731	6
LA1753	6
LA1772	6
LA1928	6
LA2650	6
LA1674	Sp
LA1809	Sp
LA1941	Sp
