INDV,lat,lon,colors,inferno colors,Obs_het,,,,
LA1362,-9.53333,-77.76667,#ffffc,#000004FF,0.02,,,LA0094,#65156EFF
LA2861,-3.81667,-79.26667,#ffffc,#000004FF,0.02,,,LA1560,#000004FF
LA1681,-12.75,-75.83333,#ffffc,#000004FF,0.02,,,LA1753,#65156EFF
LA2105,-4.03417,-79.19889,#ffffc,#000004FF,0.03,,,LA1681,#000004FF
LA2103,-4.23333,-79.45,#ffffc,#000004FF,0.03,,,LA1691,#000004FF
LA2106,-4.2,-79.21667,#ffeda0,#000004FF,0.03,,,LA2650,#65156EFF
LA1691,-12.45972,-75.91806,#ffeda0,#000004FF,0.03,,,LA1721,#65156EFF
LA1928,-14.39861,-74.82278,#ffeda0,#000004FF,0.03,,,LA1731,#000004FF
LA1560,-11.85,-76.38333,#ffeda0,#000004FF,0.03,,,LA1928,#000004FF
LA1252,-4,-79.21667,#ffeda0,#000004FF,0.03,,,LA1298,#65156EFF
LA2859,-4.36306,-79.17472,#ffeda0,#000004FF,0.04,,,LA1772,#65156EFF
LA1731,-13.20194,-75.575,#fed976,#000004FF,0.04,,,LA1352,#65156EFF
LA1625,-1.5,-80.51667,#fed976,#000004FF,0.04,,,LA1354,#65156EFF
LA2860,-4.33333,-79.55,#fed976,#000004FF,0.04,,,LA1986,#D44842FF
LA2650,-4.63,-79.95,#fed976,#65156EFF,0.05,,,LA1737,#D44842FF
LA2114,-3.93333,-79.225,#fed976,#65156EFF,0.05,,,LA2175,#D44842FF
LA2119,-3.62222,-79.23806,#fed976,#65156EFF,0.05,,,LA2155,#65156EFF
LA2574,-9.53333,-77.8,#feb24c,#65156EFF,0.05,,,LA2196,#65156EFF
LA2855,-4.1,-79.95,#feb24c,#65156EFF,0.05,,,LA2324,#65156EFF
LA1753,-11.88472,-76.43972,#feb24c,#65156EFF,0.06,,,LA2204,#65156EFF
LA2329,-7.82028,-77.71278,#feb24c,#65156EFF,0.06,,,LA2156,#D44842FF
LA1361,-9.55,-77.89167,#feb24c,#65156EFF,0.06,,,LA1361,#65156EFF
LA2869,-4.11667,-79.36667,#feb24c,#65156EFF,0.06,,,LA2574,#65156EFF
LA1223,-2.19583,-78.85056,#feb24c,#65156EFF,0.06,,,LA1777,#D44842FF
LA2171,-5.92528,-79.54472,#fd8d3c,#65156EFF,0.07,,,LA1778,#65156EFF
LA2155,-6.67,-78.53111,#fd8d3c,#65156EFF,0.07,,,LA2976,#D44842FF
LA2128,-3.89361,-78.78028,#fd8d3c,#65156EFF,0.07,,,LA2329,#65156EFF
LA2196,-6.18111,-77.91139,#fd8d3c,#65156EFF,0.07,,,LA0407,#65156EFF
LA2100,-4.36,-79.79639,#fd8d3c,#65156EFF,0.07,,,LA1362,#000004FF
LA2204,-5.79722,-77.86611,#fd8d3c,#65156EFF,0.07,,,LA1625,#000004FF
LA1772,-11.48333,-76.65,#fd8d3c,#65156EFF,0.07,,,LA1223,#65156EFF
LA1354,-7.41667,-78.78333,#fd8d3c,#65156EFF,0.08,,,LA1252,#000004FF
LA0094,-11.51667,-76.68333,#fd8d3c,#65156EFF,0.08,,,LA2105,#000004FF
LA1721,-13.43528,-75.46528,#fc4e2a,#65156EFF,0.08,,,LA2128,#65156EFF
LA1778,-9.55,-77.7,#fc4e2a,#65156EFF,0.08,,,LA2106,#000004FF
LA2324,-6.7,-77.7975,#fc4e2a,#65156EFF,0.08,,,LA2861,#000004FF
LA2541,-5.92528,-79.54472,#fc4e2a,#65156EFF,0.08,,,LA2119,#65156EFF
LA1298,-11.58333,-76.75,#fc4e2a,#65156EFF,0.08,,,LA2114,#65156EFF
LA2098_2,-4.36583,-79.81278,#fc4e2a,#65156EFF,0.09,,,LA2103,#000004FF
LA1739,-5.36667,-79.6,#e31a1c,#65156EFF,0.09,,,LA2859,#000004FF
LA1352,-7.33361,-78.79694,#e31a1c,#65156EFF,0.09,,,LA2860,#000004FF
LA0407,-2.18056,-79.88361,#e31a1c,#65156EFF,0.09,,,LA2098_1,#FAC127FF
LA2976,-9.55833,-77.7,#e31a1c,#D44842FF,0.11,,,LA2098_2,#65156EFF
LA1986,-7.97778,-78.64722,#e31a1c,#D44842FF,0.11,,,LA2100,#65156EFF
LA1777,-9.55,-77.66667,#e31a1c,#D44842FF,0.11,,,LA2855,#65156EFF
LA2175,-5.14167,-79.00833,#e31a1c,#D44842FF,0.11,,,LA2869,#65156EFF
LA1737,-5.29167,-79.42361,#b10026,#D44842FF,0.13,,,LA1739,#65156EFF
LA2156,-6.53,-78.79,#b10026,#D44842FF,0.14,,,LA2409,#FAC127FF
LA2409,-12.28944,-75.8075,#b10026,#FAC127FF,0.16,,,LA2171,#65156EFF
LA2098_1,-4.36583,-79.81278,#b10026,#FAC127FF,0.17,,,LA2541,#65156EFF
