INDV,Final_update,O(HOM),E(HOM),N_SITES,F,Obs_Het,FMISS,Mean_depth,Het_all,,Obs_Het,Obs_Hom,Exp_Het,Exp_Hom
LA0094,SI_MP,83996,67536.9,91027,0.70068,0.077240819,0.0309594,14.5685,0.29932,,0.077240819,0.922759181,0.258056401,0.741943599
LA0407,SC_2,82911,67956.3,91510,0.63492,0.093967872,0.0266192,13.0691,0.36508,,0.022361126,0.977638874,0.258111751,0.741888249
LA1223,SC_2,82650,65347.8,87997,0.76392,0.060763435,0.0635371,5.9753,0.23608,,0.041082473,0.958917527,0.256788018,0.743211982
LA1252,SC_1,88273,67913.7,91451,0.86498,0.03475085,0.0273338,14.5917,0.13502,,0.03475085,0.96524915,0.257376081,0.742623919
LA1298,SI_MP,79603,64672.1,86970,0.66961,0.08470737,0.0744349,5.80259,0.33039,,0.08470737,0.91529263,0.25638611,0.74361389
LA1352,SI_MP,80971,66404.7,89326,0.63549,0.093533798,0.0503904,9.20261,0.36451,,0.093533798,0.906466202,0.256602781,0.743397219
LA1354,SI_MP,72562,58451.9,78450,0.70557,0.075054175,0.164202,3.80646,0.29443,,0.075054175,0.924945825,0.254915233,0.745084767
LA1361,SI_MP,82754,65246.8,87938,0.77154,0.058950624,0.0627279,7.35027,0.22846,,0.058950624,0.941049376,0.258036344,0.741963656
LA1560,SC_4,84206,64532.1,86922,0.8787,0.031246405,0.0744139,5.78455,0.1213,,0.031246405,0.968753595,0.257586112,0.742413888
LA1625,SC_2,87133,67532.7,90866,0.84001,0.041082473,0.032935,16.87,0.15999,,0.093967872,0.906032128,0.257389356,0.742610644
LA1674,Sp,57233,45658.8,60654,0.77186,0.056401886,0.351829,5.07028,0.22814,,0.056401886,0.943598114,0.247225245,0.752774755
LA1681,SC_4,87874,66743.8,90083,0.90535,0.02452183,0.0409218,12.0537,0.09465,,0.02452183,0.97547817,0.25908551,0.74091449
LA1691,SC_4,85006,64912.5,87502,0.88951,0.028525062,0.0675725,6.50946,0.11049,,0.028525062,0.971474938,0.258159813,0.741840187
LA1721,SC_4,81384,65649,88194,0.69794,0.077216137,0.0616035,10.4744,0.30206,,0.077216137,0.922783863,0.255629635,0.744370365
LA1731,SC_4,85948,66428.4,89488,0.84648,0.039558377,0.0474269,10.9228,0.15352,,0.039558377,0.960441623,0.257683712,0.742316288
